ZIP_CODE,Location,Population,Income,311_Requests ,Liquor_License_Counts ,311_Per_Capita,Liquor_License_Per_Capita ,School_rating,Bus_Stop_Ct,Bus_Stop_Per_Capita,L_Stop_Ct,L_Stop_Per_Capita
60602,"41.883067, -87.629187",70,23750,506,208,7.229,2.971,4.5,21,0.3,6,0.085714286
60604,"41.878266, -87.626150",78,31250,342,179,4.385,12:07 PM,NaN,14,0.179487179,8,0.102564103
60603,"41.880614, -87.629311",378,61815,462,407,1.222,1.077,NaN,8,0.021164021,2,0.005291005
60606,"41.881988, -87.637329",2308,100377,923,371,0.4,0.161,NaN,32,0.013864818,4,0.001733102
60661,"41.882458, -87.643946",4382,54698,845,438,0.193,0.1,NaN,29,0.006617983,2,0.000456413
60601,"41.885805, -87.622911",5591,77374,1213,794,0.217,0.142,NaN,37,0.006617779,8,0.001430871
60605,"41.857651, -87.615592",12423,56151,2357,835,0.19,0.067,8.5,92,0.007405619,10,0.000804959
60633,"41.661941, -87.557757",13262,40792,2445,57,0.184,0.004,3.3,43,0.003242347,NaN,NaN
60607,"41.874503, -87.651322",15552,40972,3678,1105,0.236,0.071,8.5,133,0.008551955,8,0.000514403
60611,"41.893024, -87.618998",26522,69889,1960,1943,0.074,0.073,NaN,84,0.003167182,NaN,NaN
60646,"41.992931, -87.760278",27016,58232,5322,131,0.197,0.005,8.5,116,0.004293752,NaN,NaN
60656,"41.973544, -87.830234",27129,47512,3154,106,0.116,0.004,7.5,56,0.002064212,2,7.37218E-05
60631,"41.994948, -87.813225",28832,55316,4598,249,0.159,0.009,8,63,0.002185072,2,6.93674E-05
60655,"41.694722, -87.703687",29138,59849,4724,137,0.162,0.005,7.8,107,0.003672181,NaN,NaN
60653,"41.819722, -87.611809",34502,14205,5851,118,0.17,0.003,2.7,127,0.003680946,6,0.000173903
60612,"41.880500, -87.687967",37990,25143,364083,252,9.584,0.007,2.8,285,0.007501974,12,0.000315873
60652,"41.746234, -87.711953",39126,53120,7556,120,0.193,0.003,3.2,129,0.00329704,NaN,NaN
60659,"41.991923, -87.704608",39155,45064,4911,257,0.125,0.007,5.7,141,0.003601073,NaN,NaN
60645,"42.008406, -87.695793",44197,41438,5171,96,0.117,0.002,6.8,107,0.002420979,NaN,NaN
60615,"41.801502, -87.603332",45096,31571,4838,242,0.107,0.005,2.8,139,0.003082313,4,8.86997E-05
60624,"41.880048, -87.722352",45647,22426,11645,95,0.255,0.002,2.5,180,0.003943304,8,0.000175258
60616,"41.844977, -87.629846",47073,30625,5463,598,0.116,0.013,3.9,225,0.00477981,8,0.000169949
60610,"41.900034, -87.636967",47513,51294,2585,1171,0.054,0.025,5.4,109,0.002294109,10,0.000210469
60621,"41.776404, -87.640058",47514,19718,13071,100,0.275,0.002,2.2,232,0.004882771,6,0.000126279
60660,"41.990561, -87.664706",47726,34293,4140,289,0.087,0.006,4.7,84,0.001760047,4,8.38118E-05
60613,"41.958302, -87.660698",50548,48381,4890,937,0.097,0.019,7.3,168,0.003323574,12,0.000237398
60636,"41.775708, -87.669011",51451,27727,14821,118,0.288,0.002,2.3,223,0.004334221,2,3.88719E-05
60643,"41.696894, -87.661375",52568,51305,12197,173,0.232,0.003,2.6,197,0.003747527,NaN,NaN
60630,"41.972071, -87.756569",54781,47905,9269,369,0.169,0.007,7,228,0.004162027,4,7.3018E-05
60649,"41.763484, -87.570411",54823,27699,6018,87,0.11,0.002,2.6,193,0.00352042,NaN,NaN
60638,"41.783650, -87.770407",55788,45173,10554,362,0.189,0.006,5.5,259,0.004642575,NaN,NaN
60637,"41.780673, -87.603500",57090,23228,8261,151,0.145,0.003,2.5,296,0.005184796,4,7.00648E-05
60644,"41.880614, -87.756903",59059,26930,9066,88,0.154,0.001,1.8,192,0.003250986,10,0.000169322
60626,"42.009340, -87.669902",59251,31318,4082,419,0.069,0.007,2.9,98,0.001653981,10,0.000168774
60614,"41.922667, -87.652537",65474,68324,7996,1735,0.122,0.026,9,191,0.002917189,8,0.000122186
60657,"41.938964, -87.656811",66789,55647,8048,1655,0.12,0.025,7.5,158,0.002365659,10,0.000149725
60641,"41.946466, -87.746971",73824,42182,10767,394,0.146,0.005,3.8,230,0.003115518,2,2.70915E-05
60640,"41.972347, -87.663982",74030,32466,6096,695,0.082,0.009,3.3,173,0.00233689,12,0.000162096
60634,"41.946189, -87.806117",74164,50042,11105,466,0.15,0.006,5.5,298,0.004018122,NaN,NaN
60619,"41.743383, -87.605811",74963,33631,14390,250,0.192,0.003,3.2,328,0.004375492,NaN,NaN
60622,"41.901894, -87.672630",76015,38487,9133,1309,0.12,0.017,4.5,187,0.002460041,2,2.63106E-05
60651,"41.902029, -87.740432",77583,32622,10418,96,0.134,0.001,2.1,221,0.002848562,NaN,NaN
60609,"41.812680, -87.656935",79469,25705,15714,271,0.198,0.003,2.8,417,0.005247329,8,0.000100668
60620,"41.740481, -87.653749",85771,36334,16200,159,0.189,0.002,2.1,312,0.003637593,6,6.99537E-05
60632,"41.810213, -87.711761",87577,37406,14620,410,0.167,0.005,3.7,321,0.003665346,4,4.56741E-05
60628,"41.692200, -87.617859",87827,38210,19623,119,0.223,0.001,2.2,329,0.003746001,NaN,NaN
60625,"41.973081, -87.699751",91351,40083,9422,567,0.103,0.006,5.7,181,0.001981369,12,0.000131361
60608,"41.848647, -87.672320",92472,28026,13453,503,0.145,0.005,3.5,348,0.003763301,12,0.000129769
60639,"41.920639, -87.755793",92951,40165,10991,440,0.118,0.005,3.4,327,0.003517983,NaN,NaN
60617,"41.718172, -87.555846",96288,35534,18545,254,0.193,0.003,3.1,421,0.0043723,NaN,NaN
60618,"41.946755, -87.702861",98147,41355,15905,1059,0.162,0.011,5,277,0.002822297,4,4.07552E-05
60647,"41.921117, -87.701899",98769,35283,14758,1428,0.149,0.014,3.1,278,0.002814648,6,6.07478E-05
60623,"41.847079, -87.719446",108144,28203,18199,343,0.168,0.003,2.2,259,0.002394955,8,7.39754E-05
60629,"41.774690, -87.714185",113984,40279,14734,225,0.129,0.002,3.3,242,0.002123105,2,1.75463E-05
